years_window,upstream_year,downstream_year,state,cace,se,fe_cace,fe_se,re_cace,re_se
98-00,98,00,MI,0.22700414357710325,0.05759630017651359,NA,NA,NA,NA
98-00,98,00,MO,0.2598110715403301,0.17665597197548707,NA,NA,NA,NA
98-00,98,00,MO05,0.319366976543647,0.1360609985933091,NA,NA,NA,NA
98-00,98,00,MT,NA,NA,NA,NA,NA,NA
98-00,98,00,NJ,NA,NA,NA,NA,NA,NA
98-00,98,00,NV,NA,NA,NA,NA,NA,NA
98-00,98,00,NY,NA,NA,NA,NA,NA,NA
98-00,98,00,OK,NA,NA,NA,NA,NA,NA
98-00,98,00,OR,NA,NA,NA,NA,NA,NA
98-00,98,00,PA,NA,NA,NA,NA,NA,NA
98-00,98,00,RI,NA,NA,NA,NA,NA,NA
98-02,98,02,AR,0.4663027999535283,0.19709189784642028,NA,NA,NA,NA
98-02,98,02,CO,0.10643668911633544,0.05324239139982309,NA,NA,NA,NA
98-02,98,02,CT,NA,NA,NA,NA,NA,NA
98-02,98,02,FL,0.3347450053436602,0.09752068454790341,NA,NA,NA,NA
98-02,98,02,FL05,0.25805736998130174,0.08874084318938892,NA,NA,NA,NA
98-02,98,02,IA,NA,NA,NA,NA,NA,NA
98-02,98,02,IL,0.3270814527634416,0.0662727561151486,NA,NA,NA,NA
98-02,98,02,KY,NA,NA,NA,NA,NA,NA
98-02,98,02,MI,0.18498932309916905,0.038494636743728244,NA,NA,NA,NA
98-02,98,02,MO,0.3872317850782444,0.12287535622416917,NA,NA,NA,NA
98-02,98,02,MO05,0.3747846330317538,0.09862612059128106,NA,NA,NA,NA
98-02,98,02,MT,NA,NA,NA,NA,NA,NA
98-02,98,02,NJ,NA,NA,NA,NA,NA,NA
98-02,98,02,NV,NA,NA,NA,NA,NA,NA
98-02,98,02,NY,NA,NA,NA,NA,NA,NA
98-02,98,02,OK,NA,NA,NA,NA,NA,NA
98-02,98,02,OR,NA,NA,NA,NA,NA,NA
98-02,98,02,PA,NA,NA,NA,NA,NA,NA
98-02,98,02,RI,NA,NA,NA,NA,NA,NA
00-02,00,02,meta,NA,NA,0.1274134424102518,0.006387300202786616,0.12880099494779096,0.008822717063057902
00-04,00,04,meta,NA,NA,0.1813930787142208,0.015857436542270478,0.1976613232840887,0.027408952462833182
02-04,02,04,meta,NA,NA,0.2000945784456808,0.029275423368004448,0.2169742365625236,0.041362438856874684
02-06,02,06,meta,NA,NA,0.2323764841255841,0.01909802562846161,0.22942603214541302,0.022274388220383114
04-06,04,06,meta,NA,NA,0.10949195135138978,0.0030728203457784714,0.14009074967674984,0.015980159496323865
04-08,04,08,meta,NA,NA,0.11652841637123154,0.0069080017592960926,0.12249762959170205,0.012488643653303792
06-08,06,08,meta,NA,NA,0.1662543357627795,0.017900670465460997,0.20002370367429206,0.029628119498320594
06-10,06,10,meta,NA,NA,0.11921405256261541,0.009330401826795036,0.14097471314208088,0.020879439165191076
08-10,08,10,meta,NA,NA,0.09044929468301167,0.002089092926370598,0.09741396463193991,0.007728757286383049
